"cow","cluster","RC1","RC2","RC3","RC4","RC5","RC6"
7030,1,2.419668377604,-0.183973983827147,0.941050696651309,-1.03370475178252,-1.33504348336065,0.25672221104282
7033,7,0.188739614141293,-0.920819445749053,-0.209628394431195,2.12754917287343,-0.878108681903042,1.88808794386306
7039,5,1.08869451584637,0.126555277831796,-0.161797848482227,-0.5249566338063,-0.281185731773427,1.30954384575302
7043,4,-0.728379470238546,1.40746735846837,-0.102398809652771,-0.278600002987612,-0.28122864192656,0.539539737836861
7045,3,-0.737609215046743,-0.280737689985337,0.61437346410745,-0.477688866147901,-0.611291289442037,0.0931328318788828
7048,6,-0.465253686916682,-0.144708337640832,0.794800545758482,-0.274836916992583,-1.25992760538739,-0.490057666601093
7051,3,-0.15032884458606,-0.221230088147087,0.831940080609708,-0.364795311254653,1.01690680090202,1.47373215238048
7060,2,0.200329650421199,0.833929001927755,-1.59896750252082,-0.205973381373843,1.63956163386042,0.956336500859151
7064,3,-1.14572691847831,-0.527454353210655,0.807776710475152,-0.770039726190976,-0.562379151988905,0.45689533841783
7065,2,-0.929265524325417,-1.12720235053252,-0.188117088823064,-0.5798114030004,1.84093368570329,0.129107265323877
7068,4,-0.906299182976591,0.818413591566181,0.811971793086756,-0.265215083852039,0.510456596241349,1.7939932420586
7078,3,-0.203825850790293,-0.449025116074878,0.987813171782009,-0.414168198765621,-0.0157740478405966,-0.0113394659205993
7109,5,0.142685020531643,-2.50092680992299,0.0305704998418104,-1.10168533860933,-1.20476254855884,0.502175223529318
7110,6,-0.772052953315407,0.634197008264525,0.596068653928957,0.228647918461803,-1.82460427461489,-0.594565110367853
7114,2,0.116336405750063,-0.0315048542791774,0.432679598609044,-0.113698784737433,2.09093439387665,-0.0583521688912055
7115,2,0.533170252255471,0.88816573805854,-0.670977300507366,-1.16263250291932,0.933433301497319,0.04773048946437
7116,8,-0.999357477470837,0.0284412958187991,-0.875429170669918,0.104047382109225,-0.266649571394609,0.0939765641159388
7119,8,-0.312234529261753,1.36783198559514,-0.782333054475121,-0.0107414236795106,-0.0604858585800834,-1.33376997217024
7128,6,0.265640273064966,-0.147098396523035,-0.127377167328343,-0.136616892314931,-2.6249426478854,-1.42324599534077
7136,3,-0.79192144373454,-0.665823982263815,0.543244073145051,-0.179229226520943,0.207640122954216,0.398290053841845
7138,2,1.40443849886951,0.145957963938165,-0.26825788813505,0.436645325808615,0.992071616958339,-0.967627840787646
7139,3,-0.470921649444025,-0.906099382318962,0.365389008469611,-0.44362087946214,-0.408276399847444,0.0289302911103961
7143,8,-1.12554410579014,0.220330350812458,-0.219265320218274,1.31081722988487,-0.559896149445747,-0.790774777717929
7146,8,0.110712676419438,0.0268538604931749,-0.930080916873584,0.77158581635298,-0.0100728301044518,0.0943510646567611
7150,7,-0.148346136244456,-0.327273211219192,-0.337487439550888,5.32209315708766,-0.165224612638884,-0.354370657743832
7153,3,-1.05727843547384,-0.5743287619582,0.273342640546039,0.228542471215292,0.167850386353207,0.00777219423311839
7159,2,0.0712627532489842,-0.156769345510778,-0.633926921786696,-0.605176266421995,1.42086653684514,-0.544771237740001
7163,6,1.44360348309811,0.680246470394834,0.127268492978424,0.184677284364151,-0.0122950043584638,-3.09610315003713
7169,8,1.15641466770887,1.03682341009204,-1.70061519170402,1.59820866974441,0.4484668888057,-1.59025817660364
8015,8,-0.95329721058083,-0.383236914862687,-0.357486495681477,0.584477685006269,0.0399214666968797,-1.36297556218153
8083,4,-0.0293200727237716,0.584465619735585,-0.114561626571995,-0.381333454789726,-0.517931099037447,0.584144269940733
8145,8,-0.425417945110223,0.113446258918429,-1.22865889671655,-0.228542946513194,-1.65737326050531,-0.349391705121162
8146,4,-0.857696129749385,1.63481441229714,0.256309811581267,-0.033424591470535,-0.949373425831107,0.714386823138165
8154,7,0.060526360172912,-0.386060064565819,-2.79037214518515,2.35211939566732,0.0252591875224161,2.14650532669887
9010,8,0.113995965524506,-0.0310229916916148,-1.6063380860098,-0.760791563340654,-0.81061740722074,-0.14383062611702
9012,5,-0.0834834936232326,-0.771186848446358,-1.35219907717949,-0.0138177890435826,-0.894372227261409,1.06014019065232
