"cow","slp_feed_intake","slp_feed_duration","slp_feed_visits","slp_water_intake","slp_water_duration","slp_water_visits","slp_total_meals","slp_median_meal_duration","slp_median_visit_per_meal","slp_median_intake_per_meal","slp_median_feeding_pct_per_meal","slp_number_of_non_nutritive_visits","slp_median_pct_feed_remaining","slp_median_non_nutritive_per_meal","slp_total_actor","slp_total_reactor"
"5100",6.75159107897344,1720.56748279635,0.151113331603573,10.7414585517319,0.221639871913663,0.233361525924406,0.165565806257374,0.28970124922233,0.291153669488201,0.287643711600046,6.47625870972696,0.243109384554863,10.178249971628,0.337752328714224,0.347907203572509,0.418502462924822
"5118",5.76342361646372,1612.81347555118,0.168504155692175,11.7039379138102,0.220184214816293,0.279287324651757,0.195374666362546,0.278767464870582,0.318486371416802,0.28363892030542,4.90228013769321,0.437497780337012,12.2648573064846,0.378276212625162,0.476271401390308,0.394826409352999
"5120",8.11153375592561,1744.19664007256,0.205473172090798,11.1062003959905,0.196283062016285,0.261614375192428,0.211501492161225,0.280100694892359,0.327081480993238,0.280618785344136,4.70572852965514,0.389672683464608,13.2253287181679,0.402169926498393,0.314858186821,0.522087679957219
"5123",6.25861786778715,1788.86599872875,0.189104651146891,12.6454304354138,0.20987085432343,0.229514074307228,0.239392864176708,0.318248784577736,0.366487184626048,0.343218386444903,5.31116591040101,0.344503963218743,14.1666541373649,0.424588034360195,0.446471051577969,0.395987926435298
"5124",6.21415003205638,1887.1686997372,0.205570246855109,10.699184701127,0.181286667339186,0.237028016244478,0.233464974483213,0.283339881499415,0.327548113938994,0.304974291632951,5.03029404449142,0.314957009818228,13.1887123285442,0.375864232946695,0.39657914052855,0.432172684458863
"5133",5.9046139903396,1717.07218685122,0.157430868979726,12.3062486387027,0.214346687896929,0.248379534491442,0.210767196973382,0.28618425178848,0.327138018969795,0.39047918104966,4.94078854544781,0.276944194556849,12.9668194030335,0.364408142553958,0.361819230064781,0.351065146871706
"5135",6.46875767712569,1553.54477908116,0.197483566751082,17.2803863212942,0.210154063776966,0.229227883740846,0.183629891882786,0.268566904513937,0.299905310481211,0.255641364630652,5.13715288195489,0.355858765438572,15.3034999496479,0.374398646093453,0.392083808948879,0.442297317835525
"5137",4.90245220796481,1251.98129184445,0.192264986351613,10.5144855214037,0.177243617558044,0.197305737068169,0.174825658913407,0.259231602506751,0.280089059755698,0.209673987365028,4.70459416039328,0.350648055592075,16.603925985058,0.362486195010043,0.486380456291658,0.429451860763667
"5139",6.03073152189174,1686.737075999,0.226986738077594,16.0557099125434,0.263730971199433,0.248179780882369,0.187877744131728,0.26810757886122,0.324290692697164,0.280873768063658,5.7065430402769,0.437182907344429,14.2447838171115,0.371187034965705,0.444240235130587,0.393659839189721
"5140",4.23985844773784,1371.41542996384,0.152332981960778,11.2303904534943,0.195431791435476,0.218707538889933,0.164892893079455,0.233727004126845,0.277779786891531,0.171758312061506,4.74311528004169,0.269554295173622,12.3768358471368,0.351765057291974,0.489922665655327,0.371235857757423
"5145",5.04606174853973,1342.29890412103,0.193311547379794,12.5263466215438,0.225156095535313,0.246395558082288,0.172428901902889,0.246432479240717,0.287300188531664,0.261932062445329,6.33716435933494,0.36713240107966,16.3541998308363,0.369838103713488,0.521965610794819,0.386168088555968
"6004",5.85836204078731,1948.76359722677,0.267829025402629,12.2471449846043,0.205855753083728,0.204380329691769,0.179216223984846,0.255489477425047,0.321841322475346,0.235000646028731,4.47953230578862,0.587129326457402,15.0965426312496,0.390914757141121,0.393968038535579,0.384263264416468
"6005",4.67402151835257,1292.45040113704,0.183784511707602,9.43307494239195,0.187548578127205,0.214743318126171,0.190631053626965,0.219724865518804,0.264806498245613,0.215050291916928,5.50885872243974,0.348874672566591,10.9052108415755,0.357434744750102,0.372569372939646,0.427849246183558
"6011",4.13661395725918,1460.11936336143,0.197335933658843,22.4033114605787,0.251583137235569,0.300337853032392,0.164934117115815,0.264629786428678,0.289588384895467,0.256119973212999,4.34925808451199,0.299990185869472,10.5419661580565,0.363248284809413,0.421076170329753,0.418228186337469
"6022",6.88527713498642,1268.17139239655,0.165810653433913,10.7182915373764,0.179609539101637,0.28580835687116,0.157220997195774,0.264359253067394,0.303279691927941,0.196360252580831,4.51591190532128,0.345806620921193,10.2836208857674,0.371120132148848,0.334845209006617,0.428148176229872
"6025",5.69500386561955,1334.78259474117,0.175175223247805,10.6940372803431,0.199016451794129,0.300279382413823,0.159076413188151,0.253402906738951,0.298598655398579,0.256123708409421,5.97587964043607,0.374491487615732,10.4537677487145,0.367336674579335,0.400782796827516,0.394516227145823
"6027",7.15414215017013,2094.79139565557,0.192952439166859,13.0591948307331,0.196459692351985,0.231806153846002,0.209481843913736,0.247901567525719,0.294230792593612,0.27114415414749,6.10466879478726,0.307566237258529,9.46706256382905,0.37907832973319,0.381478049996009,0.412574233898897
"6028",7.04068681850938,2004.33406058622,0.240289335087193,11.9843490613565,0.149912495486956,0.228200612003336,0.195230251924288,0.274562674300902,0.33136708049826,0.363154179806012,6.27532331045594,0.380878354760647,12.6434981281948,0.389216996324913,0.327778397731205,0.454357923932667
"6029",8.18727930677492,1760.98916645249,0.250560819746802,12.0454442729387,0.247414965626191,0.205792142678896,0.197089903278912,0.276715996819282,0.314582082622294,0.263310090732015,5.77098265127833,0.563272916143867,12.9922606434798,0.384377670526235,0.432924627386803,0.532829269455566
