"cow","variable","intercept"
"9012","feed_duration",20053.1216984866
"2007","feed_visits",76.8364041641714
"2051","feed_visits",71.0239196395949
"2063","feed_visits",117.918383714094
"3067","feed_visits",58.0887758489415
"3117","feed_visits",94.7557927093771
"3131","feed_visits",99.5345440608081
"3150","feed_visits",68.6299414849941
"4001","feed_visits",156.895421833412
"4008","feed_visits",128.893274704371
"4026","feed_visits",78.9678805017964
"4044","feed_visits",95.632623316468
"4057","feed_visits",75.1718455034255
"4072","feed_visits",105.926648801719
"4080","feed_visits",104.744573494026
"5005","feed_visits",38.7669043559102
"5041","feed_visits",139.167166176492
"5042","feed_visits",205.625204217444
"5061","feed_visits",91.8038055796991
"5064","feed_visits",82.0500475777949
"5096","feed_visits",84.6841898417753
"5100","feed_visits",126.371099255133
"5118","feed_visits",75.3679063134271
"5120","feed_visits",89.568259409406
"5123","feed_visits",99.9226911585663
"5124","feed_visits",97.5253442249679
"5133","feed_visits",107.805098251078
"5135","feed_visits",100.480286778379
"5137","feed_visits",90.1586658541138
"5139","feed_visits",66.3255381074079
"5140","feed_visits",133.724367599458
"5145","feed_visits",125.263369590167
"6004","feed_visits",55.5924221980988
"6005","feed_visits",118.178648157223
"6011","feed_visits",186.62546684352
"6022","feed_visits",100.164996450997
"6025","feed_visits",74.2168309292953
"6027","feed_visits",136.838417888492
"6028","feed_visits",114.374680690434
"6029","feed_visits",74.2338636718515
"6033","feed_visits",104.708400403335
"6041","feed_visits",102.791617331482
"6043","feed_visits",60.5482790988469
"6050","feed_visits",88.0043026805839
"6055","feed_visits",131.167701395139
"6062","feed_visits",91.8436407889191
"6067","feed_visits",82.9368953897231
"6068","feed_visits",102.232687204511
"6069","feed_visits",105.133569532982
"6079","feed_visits",97.8020851406152
"6084","feed_visits",72.4659469069307
"6086","feed_visits",64.0869177226286
"6087","feed_visits",60.3437814255084
"6090","feed_visits",104.958613713338
"6092","feed_visits",101.790526796129
"6093","feed_visits",135.275872899634
"6096","feed_visits",80.7596718089985
"6125","feed_visits",51.2234636171521
"6126","feed_visits",90.1788310603917
"6129","feed_visits",66.9952830165369
"6130","feed_visits",118.934939176102
"6131","feed_visits",81.6491212043554
"6134","feed_visits",111.585382092841
"7010","feed_visits",83.7561650181859
"7018","feed_visits",103.836781347326
"7019","feed_visits",113.258875441091
"7022","feed_visits",98.954048489555
"7023","feed_visits",106.09921135044
"7024","feed_visits",84.4673898827223
"7025","feed_visits",93.4751890582433
"7027","feed_visits",197.802729234137
"7029","feed_visits",96.0583913270183
"7030","feed_visits",166.754518461628
"7033","feed_visits",111.03906210476
"7039","feed_visits",126.619868127954
"7043","feed_visits",76.425540897898
"7045","feed_visits",75.5381088626806
"7048","feed_visits",83.3521859537388
"7051","feed_visits",98.275825513353
"7060","feed_visits",102.038659951755
"7064","feed_visits",66.4390543148668
"7065","feed_visits",74.6600323605573
"7068","feed_visits",78.8462093135166
"7078","feed_visits",92.1078538845107
"7109","feed_visits",109.123429723212
"7110","feed_visits",70.2818858837197
"7114","feed_visits",112.369534485164
"7115","feed_visits",110.142061321287
"7116","feed_visits",63.7359500325746
"7119","feed_visits",77.6795732177567
"7128","feed_visits",103.408953626382
"7136","feed_visits",78.3934034268318
"7138","feed_visits",137.04165630851
"7139","feed_visits",87.2249583746052
"7143","feed_visits",64.6175912602592
"7146","feed_visits",94.7185959794599
"7150","feed_visits",98.07672405434
"7153","feed_visits",70.3319317515247
"7159","feed_visits",97.3779652813833
"7163","feed_visits",131.156050395794
"7169","feed_visits",113.206685019097
"8015","feed_visits",64.1100096486135
"8083","feed_visits",93.3004556571318
"8145","feed_visits",77.2069388390301
"8146","feed_visits",73.194389120408
"8154","feed_visits",90.2417703131745
"9010","feed_visits",91.2889809731808
"9012","feed_visits",91.9271156713881
"2007","water_intake",59.9741659669333
"2051","water_intake",46.4129798979614
"2063","water_intake",40.0428324947831
"3067","water_intake",64.4233556551402
"3117","water_intake",58.0516737745329
"3131","water_intake",55.6723534932594
"3150","water_intake",72.634317827674
"4001","water_intake",52.1255365804911
"4008","water_intake",56.3106628372619
"4026","water_intake",60.7049509154918
"4044","water_intake",57.3363274544167
"4057","water_intake",84.622901573527
"4072","water_intake",49.8607313620063
"4080","water_intake",53.6624750881617
"5005","water_intake",21.3069296301782
"5041","water_intake",58.0653951634212
"5042","water_intake",61.5713446132814
"5061","water_intake",70.2071936232008
"5064","water_intake",66.0209543926881
"5096","water_intake",38.3331476280447
"5100","water_intake",52.5832300922604
"5118","water_intake",65.0278191846927
"5120","water_intake",58.9728964214851
"5123","water_intake",94.156523221737
"5124","water_intake",40.8504171729911
"5133","water_intake",58.6882249231332
"5135","water_intake",58.8411626331667
"5137","water_intake",46.9604675056804
"5139","water_intake",55.1703785325915
"5140","water_intake",41.4611694915242
"5145","water_intake",56.7831551020138
"6004","water_intake",45.6261022341305
"6005","water_intake",68.6874467476013
"6011","water_intake",61.7445870008805
"6022","water_intake",95.8842828672595
"6025","water_intake",97.2871178162478
"6027","water_intake",63.7534066281138
"6028","water_intake",72.4616329871435
"6029","water_intake",71.3566997513991
"6033","water_intake",29.6628902299619
"6041","water_intake",63.5969010198729
"6043","water_intake",43.2982555165503
"6050","water_intake",50.4530964133508
"6055","water_intake",43.8070942312981
"6062","water_intake",78.1713298713725
"6067","water_intake",62.5370410128791
"6068","water_intake",61.5304998286329
"6069","water_intake",65.0791699602741
"6079","water_intake",70.5917857313368
"6084","water_intake",73.9661925103036
"6086","water_intake",49.1599451781851
"6087","water_intake",48.3480588938909
"6090","water_intake",47.1860917063848
"6092","water_intake",65.1770156327266
"6093","water_intake",74.2037594974114
"6096","water_intake",86.2679839373338
"6125","water_intake",42.0371950123108
"6126","water_intake",59.597795045587
"6129","water_intake",64.3393323839149
"6130","water_intake",49.800991892785
"6131","water_intake",68.8897975085421
"6134","water_intake",76.7635575823251
"7010","water_intake",62.890152120176
"7018","water_intake",50.7019464798313
"7019","water_intake",70.2750545876196
"7022","water_intake",73.4954455932233
"7023","water_intake",51.5800262839364
"7024","water_intake",53.911344901055
"7025","water_intake",68.4267287882626
"7027","water_intake",64.4743989536177
"7029","water_intake",55.6398766070284
"7030","water_intake",67.2854632524266
"7033","water_intake",55.0161019297696
"7039","water_intake",50.1947091274707
"7043","water_intake",63.6576938250449
"7045","water_intake",67.0970864840539
"7048","water_intake",61.9366858654347
"7051","water_intake",67.9908371765064
"7060","water_intake",51.1244106668487
"7064","water_intake",60.4500951160944
"7065","water_intake",54.3927874816426
"7068","water_intake",67.375944462996
"7078","water_intake",70.2269202480142
"7109","water_intake",59.7024940539115
"7110","water_intake",56.8974262031516
"7114","water_intake",73.596361350371
"7115","water_intake",59.046606488452
"7116","water_intake",49.157152087176
"7119","water_intake",55.6990377189721
"7128","water_intake",63.4444329978237
"7136","water_intake",68.7786611079271
"7138","water_intake",67.6593128559949
"7139","water_intake",67.3960221187692
"7143","water_intake",55.2718194605712
"7146","water_intake",44.4164411528389
"7150","water_intake",50.8872743634604
"7153","water_intake",68.3597246556203
"7159","water_intake",51.6574490172837
"7163","water_intake",59.7358942614091
"7169","water_intake",23.9988080600765
"8015","water_intake",50.9957260801045
"8083","water_intake",58.6638593561014
"8145","water_intake",54.6941762440727
"8146","water_intake",71.1956658348904
"8154","water_intake",34.4529892662152
"9010","water_intake",43.4036443127993
"9012","water_intake",49.7617851997889
"2007","water_duration",480.485592813972
"2051","water_duration",1098.72867416919
"2063","water_duration",928.740882762127
"3067","water_duration",322.851107429065
"3117","water_duration",413.90349804846
"3131","water_duration",806.671332385262
"3150","water_duration",709.577570436487
"4001","water_duration",595.05057879897
"4008","water_duration",709.696048680954
"4026","water_duration",702.063677285501
"4044","water_duration",395.034381886598
"4057","water_duration",754.865727730574
"4072","water_duration",711.648537574946
"4080","water_duration",755.163876673165
"5005","water_duration",795.775158862653
"5041","water_duration",1201.47830033518
"5042","water_duration",824.955881429966
"5061","water_duration",651.197015455826
"5064","water_duration",727.100055117207
"5096","water_duration",590.141793345398
"5100","water_duration",425.170413470522
"5118","water_duration",1063.74627039958
"5120","water_duration",743.939042800272
"5123","water_duration",539.142624317149
"5124","water_duration",1215.27383052717
"5133","water_duration",503.328841884539
"5135","water_duration",433.128353481934
"5137","water_duration",387.274825361947
"5139","water_duration",405.170030762364
"5140","water_duration",600.784273200474
"5145","water_duration",387.685290910381
"6004","water_duration",422.311627588282
"6005","water_duration",580.343069599531
"6011","water_duration",465.619793511663
"6022","water_duration",921.580099301719
"6025","water_duration",1677.97402032477
"6027","water_duration",529.698150847031
"6028","water_duration",938.70357026535
"6029","water_duration",790.56033448844
"6033","water_duration",666.342926720817
"6041","water_duration",347.919655282788
"6043","water_duration",495.382462891124
"6050","water_duration",831.869464381075
"6055","water_duration",367.973253155885
"6062","water_duration",864.525980219963
"6067","water_duration",906.513517893902
"6068","water_duration",997.267633683926
"6069","water_duration",1180.39438026103
"6079","water_duration",645.686710334217
"6084","water_duration",533.013204191098
"6086","water_duration",430.186908397419
"6087","water_duration",541.352656047249
"6090","water_duration",695.911056062428
"6092","water_duration",828.505815139031
"6093","water_duration",797.062154468567
"6096","water_duration",655.36168128915
"6125","water_duration",697.634061879032
"6126","water_duration",1281.60113260675
"6129","water_duration",326.126367150095
"6130","water_duration",710.404670611736
"6131","water_duration",408.05987695721
"6134","water_duration",676.881871896882
"7010","water_duration",611.883541911363
"7018","water_duration",359.740546292378
"7019","water_duration",368.717390703543
"7022","water_duration",809.537877210187
"7023","water_duration",386.016080263906
"7024","water_duration",588.819761948231
"7025","water_duration",431.322200031379
"7027","water_duration",445.82797970327
"7029","water_duration",719.994543946322
"7030","water_duration",429.898421373324
"7033","water_duration",1153.50979950198
"7039","water_duration",579.411595729753
"7043","water_duration",542.797032628865
"7045","water_duration",582.152530037795
"7048","water_duration",616.428317237813
"7051","water_duration",628.194244840959
"7060","water_duration",640.812637576375
"7064","water_duration",672.011698196972
"7065","water_duration",505.445914211206
"7068","water_duration",672.846765534738
"7078","water_duration",622.69476396495
"7109","water_duration",325.202979332511
"7110","water_duration",840.021307444811
"7114","water_duration",895.959247724723
"7115","water_duration",397.104257941283
"7116","water_duration",486.132489193534
"7119","water_duration",727.861821387804
"7128","water_duration",851.629691942492
"7136","water_duration",566.224786484684
"7138","water_duration",812.594245774866
"7139","water_duration",680.445945609286
"7143","water_duration",1179.19013173007
"7146","water_duration",861.548335607934
"7150","water_duration",2101.88676917378
"7153","water_duration",993.745754370751
"7159","water_duration",603.068679869473
"7163","water_duration",915.187316290363
"7169","water_duration",1272.98243810455
"8015","water_duration",695.50329715153
"8083","water_duration",673.009560769719
"8145","water_duration",614.571276501203
"8146","water_duration",654.631267830759
"8154","water_duration",1087.69011978331
"9010","water_duration",523.169749408048
"9012","water_duration",780.628749535166
"2007","water_visits",9.63996366972739
"2051","water_visits",11.5381383455377
"2063","water_visits",8.53445479535114
"3067","water_visits",5.57986781146032
"3117","water_visits",6.78471877951064
"3131","water_visits",10.3970510987117
"3150","water_visits",11.1717976826549
"4001","water_visits",9.2551504275804
"4008","water_visits",8.99064562561046
