"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"107","2020-10-29",48,NA,NA,"12; 13; 104",NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA
"108","2020-10-30",47,"Yes","8","12; 13; 30; 104",NA,NA,NA,NA,"12; 24",NA,"5137, 89.4; 6020, 105.8",NA,"102",NA,NA
"109","2020-10-31",47,"Yes","30","6; 12; 13",NA,NA,NA,NA,"12",NA,NA,NA,"102","6033, 60",NA
"110","2020-11-01",47,"Yes","3; 5; 6; 18","6; 12; 13; 30",NA,NA,NA,NA,"1",NA,NA,NA,"102",NA,NA
"111","2020-11-02",48,NA,NA,"13; 30",NA,"12",NA,NA,NA,"6130, 25.3",NA,NA,"101; 102","6130, 18.4",NA
"112","2020-11-03",48,NA,NA,"9; 11; 30; 103",NA,NA,NA,NA,NA,NA,NA,NA,"101; 102",NA,NA
"113","2020-11-04",48,NA,"104","103",NA,NA,NA,NA,NA,"5028, 9.20000000000001","5123, 75",NA,"101","5028, 45.2",NA
"114","2020-11-05",53,NA,"4","6; 13","4001, 08:38:13; 4070, 09:06:35; 6042, 11:22:44; 7010, 04:50:23; 7030, 11:21:30",NA,NA,NA,NA,"3131, 31.2; 4001, 16.3; 4070, 20.5; 5028, 24.2; 5059, 27.1; 6042, 14.1; 6079, 29; 6087, 17.4; 7010, 7.1; 7030, 25.6",NA,NA,"102","3131, 45; 4001, 18.8; 4070, 42.8; 5028, 31.4; 5059, 28.4; 6029, 59.4; 6042, 33.7; 6087, 28.9; 7010, 24.3; 7030, 45.3",NA
"115","2020-11-06",48,NA,"4; 16; 17","3; 5; 11; 13; 30; 104",NA,NA,NA,NA,"5; 11; 13; 15; 30","5028, 29.8","5120, 76.2; 6033, 93; 6069, 85.1; 6079, 78.7; 7024, 83.7",NA,NA,NA,NA
"116","2020-11-07",48,NA,NA,"6; 13; 30; 103",NA,NA,NA,NA,NA,"5028, 26.6",NA,NA,NA,"5028, 54.4",NA
"117","2020-11-08",48,NA,"18; 102","6",NA,NA,NA,NA,NA,"5114, 31.8; 7018, 33.1",NA,NA,"101","5137, 57.3",NA
"118","2020-11-09",47,"Yes","15; 18; 102","14; 18; 104; 105",NA,NA,NA,NA,"14",NA,NA,NA,NA,"5124, 59.1; 5145, 55.9",NA
"119","2020-11-10",47,"Yes","18; 102","14",NA,"1",NA,NA,"14; 17","5139, 34.5","7033, 96",NA,"102","5137, 43.7",NA
"120","2020-11-11",47,"Yes","102","14; 104",NA,"1",NA,NA,"9; 14",NA,"5135, 75.6",NA,"101",NA,NA
"121","2020-11-12",46,"Yes","12; 24; 102; 104","6; 13; 14",NA,"1",NA,NA,"14; 24","6130, 33.5","6079, 99.6",NA,"102","2074, 59.4",NA
"122","2020-11-13",47,"Yes","3; 14; 24; 102","13; 14; 103",NA,"1",NA,NA,"14","5028, 21.8","6020, 75.6",NA,"102","5028, 57.4; 6033, 57.8",NA
"123","2020-11-14",48,NA,"26","13; 14; 26; 103; 104",NA,NA,"1",NA,"7; 13; 14; 19","6028, 32",NA,NA,"101; 102","6028, 59.9",NA
"124","2020-11-15",48,NA,NA,"13; 14; 21; 30; 104",NA,NA,NA,NA,"10; 13; 14; 22; 30",NA,"3131, 85.7; 4080, 76.7; 5042, 76.8; 5058, 83.7; 5061, 89.9; 5135, 98.7; 6029, 84; 6050, 77.3; 7033, 77.2",NA,NA,NA,NA
"125","2020-11-16",48,NA,"19; 20","8; 13; 14; 26; 30; 103; 104",NA,"1",NA,NA,"9; 14; 30",NA,"4044, 75.8",NA,"103","5137, 57.2",NA
"126","2020-11-17",48,NA,NA,"1; 6; 13; 14; 103",NA,NA,NA,NA,"1; 14; 19",NA,"4072, 75.7; 5123, 81.7; 6084, 92.4",NA,"101",NA,NA
"127","2020-11-18",48,NA,NA,"13; 14",NA,NA,NA,NA,"14; 29",NA,"4080, 76.2",NA,"101; 104","5139, 56.7",NA
"128","2020-11-19",48,NA,NA,"13; 14",NA,NA,NA,NA,"11; 14",NA,"5042, 84",NA,"102","6033, 59.9",NA
"129","2020-11-20",53,NA,"104","13; 14; 103","5067, 09:07:58; 5114, 08:45:49; 6028, 10:35:37; 6126, 11:07:29; 6130, 11:19:55",NA,NA,NA,"13; 14","2051, 29.2; 5046, 22.6; 5067, 24.1; 5114, 26.8; 6028, 25.7; 6060, 0.200000000000002; 6126, 26.8; 6130, 15.9","5042, 85.0000000000001; 6069, 77.1; 6084, 85.4999999999999; 7023, 78.1",NA,"101","2051, 23.8; 5046, 46.7; 5067, 58.5; 5114, 48.5; 6028, 41.3; 6060, 0.100000000000001; 6126, 47; 6130, 34",NA
"130","2020-11-21",48,NA,NA,"6; 13; 14; 30; 103",NA,NA,NA,NA,"11; 13; 14; 21; 24; 28",NA,"5061, 92.8; 6079, 79.4",NA,"101","5137, 59.4",NA
"131","2020-11-22",48,NA,"6","6; 7; 13; 14; 103",NA,NA,NA,NA,"14",NA,NA,NA,"101","5139, 54.2",NA
"132","2020-11-23",48,NA,"2; 105","2; 7; 13; 14; 104",NA,NA,NA,NA,"14; 17",NA,"6022, 76.7",NA,NA,NA,NA
"133","2020-11-24",48,NA,NA,"6; 13; 14; 104",NA,NA,NA,NA,"14; 19",NA,"5042, 85.1",NA,"101; 102; 104",NA,NA
